iter	Passed	Remaining
599	1239	826
600	1241	824
601	1242	821
602	1245	820
603	1248	818
604	1250	816
605	1252	814
606	1254	812
607	1256	809
608	1258	807
609	1259	805
610	1262	803
611	1264	801
612	1266	799
613	1268	797
614	1269	794
615	1271	792
616	1273	790
617	1275	788
618	1279	787
619	1281	785
620	1282	782
621	1284	780
622	1286	778
623	1288	776
624	1291	775
625	1293	772
626	1295	770
627	1297	768
628	1298	766
629	1300	763
630	1302	761
631	1305	760
632	1308	758
633	1310	756
634	1312	754
635	1313	751
636	1315	749
637	1317	747
638	1320	746
639	1324	745
640	1326	743
641	1328	740
642	1330	738
643	1331	736
644	1334	734
645	1337	733
646	1339	730
647	1341	728
648	1342	726
649	1344	723
650	1346	721
651	1347	719
652	1350	717
653	1353	715
654	1355	713
655	1356	711
656	1358	709
657	1360	706
658	1362	704
659	1365	703
660	1368	701
661	1371	700
662	1373	697
663	1374	695
664	1376	693
665	1380	692
666	1383	690
667	1384	688
668	1386	685
669	1388	683
670	1389	681
671	1391	679
672	1394	677
673	1396	675
674	1398	673
675	1399	670
676	1401	668
677	1403	666
678	1404	664
679	1406	661
680	1408	659
681	1410	657
682	1412	655
683	1414	653
684	1415	651
685	1417	648
686	1419	646
687	1421	644
688	1423	642
689	1426	640
690	1428	638
691	1429	636
692	1431	634
693	1432	631
694	1434	629
695	1436	627
696	1438	625
697	1442	624
698	1444	621
699	1445	619
700	1447	617
701	1448	615
702	1450	612
703	1452	610
704	1456	609
705	1458	607
706	1460	605
707	1461	602
708	1463	600
709	1464	598
710	1466	595
711	1467	593
712	1471	592
713	1473	590
714	1474	587
715	1476	585
716	1477	583
717	1479	581
718	1481	578
719	1483	577
720	1485	574
721	1487	572
722	1488	570
723	1490	568
724	1491	565
725	1493	563
726	1495	561
727	1497	559
728	1499	557
729	1502	555
730	1503	553
731	1505	551
732	1506	548
733	1508	546
734	1509	544
735	1511	542
736	1514	540
737	1517	538
738	1518	536
739	1520	534
740	1522	532
741	1523	529
742	1525	527
743	1527	525
744	1530	523
745	1532	521
746	1533	519
747	1535	517
748	1537	515
749	1538	512
750	1540	510
751	1542	508
752	1545	507
753	1547	504
754	1549	502
755	1550	500
756	1552	498
757	1553	496
758	1555	493
759	1558	492
760	1560	490
761	1562	488
762	1564	485
763	1565	483
764	1567	481
765	1568	479
766	1570	477
767	1573	475
768	1575	473
769	1577	471
770	1578	468
771	1580	466
772	1581	464
773	1583	462
774	1584	460
775	1587	458
776	1590	456
777	1592	454
778	1593	452
779	1595	450
780	1597	447
781	1598	445
782	1600	443
783	1603	441
784	1605	439
785	1607	437
786	1608	435
787	1610	433
788	1612	431
789	1614	429
790	1615	426
791	1619	425
792	1620	423
793	1622	420
794	1624	418
795	1625	416
796	1627	414
797	1628	412
798	1630	410
799	1633	408
800	1636	406
801	1638	404
802	1639	402
803	1640	400
804	1642	397
805	1644	395
806	1648	394
807	1650	392
808	1651	389
809	1653	387
810	1654	385
811	1656	383
812	1658	381
813	1660	379
814	1663	377
815	1664	375
816	1666	373
817	1667	371
818	1669	368
819	1671	366
820	1672	364
821	1675	362
822	1678	360
823	1680	358
824	1681	356
825	1683	354
826	1684	352
827	1686	350
828	1688	348
829	1692	346
830	1694	344
831	1695	342
832	1697	340
833	1699	338
834	1700	336
835	1702	333
836	1704	331
837	1707	330
838	1709	328
839	1710	325
840	1712	323
841	1714	321
842	1715	319
843	1717	317
844	1720	315
845	1723	313
846	1725	311
847	1727	309
848	1728	307
849	1730	305
850	1732	303
851	1734	301
852	1737	299
853	1738	297
854	1740	295
855	1741	293
856	1743	290
857	1745	288
858	1746	286
859	1749	284
860	1751	282
861	1753	280
862	1754	278
863	1756	276
864	1757	274
865	1759	272
866	1760	270
867	1762	268
868	1766	266
869	1769	264
870	1771	262
871	1772	260
872	1774	258
873	1776	256
874	1777	253
875	1781	252
876	1783	250
877	1784	247
878	1786	245
879	1787	243
880	1789	241
881	1790	239
882	1792	237
883	1795	235
884	1797	233
885	1799	231
886	1800	229
887	1802	227
888	1804	225
889	1805	223
890	1807	221
891	1810	219
892	1813	217
893	1814	215
894	1816	213
895	1817	210
896	1819	208
897	1820	206
898	1822	204
899	1825	202
900	1827	200
901	1828	198
902	1830	196
903	1831	194
904	1833	192
905	1835	190
906	1837	188
907	1841	186
908	1842	184
909	1844	182
910	1846	180
911	1847	178
912	1849	176
913	1850	174
914	1854	172
915	1856	170
916	1858	168
917	1860	166
918	1861	164
919	1863	162
920	1865	159
921	1868	158
922	1871	156
923	1872	154
924	1874	151
925	1876	149
926	1877	147
927	1879	145
928	1880	143
929	1883	141
930	1885	139
931	1887	137
932	1889	135
933	1890	133
934	1892	131
935	1894	129
936	1896	127
937	1899	125
938	1901	123
939	1903	121
940	1905	119
941	1906	117
942	1908	115
943	1910	113
944	1914	111
945	1917	109
946	1919	107
947	1920	105
948	1922	103
949	1923	101
950	1925	99
951	1926	97
952	1928	95
953	1932	93
954	1935	91
955	1936	89
956	1938	87
957	1939	85
958	1941	82
959	1942	80
960	1945	78
961	1948	76
962	1949	74
963	1951	72
964	1953	70
965	1955	68
